period,index_2025_100,status
1996-01,54.3,
1996-02,54.5,
1996-03,54.7,
1996-04,54.9,
1996-05,55.1,
1996-06,55.3,
1996-07,55.2,
1996-08,55.3,
1996-09,55.3,
1996-10,55.4,
1996-11,55.6,
1996-12,55.6,
1997-01,55.8,
1997-02,55.8,
1997-03,55.9,
1997-04,56,
1997-05,56.1,
1997-06,56.1,
1997-07,56.1,
1997-08,56.1,
1997-09,56.2,
1997-10,56.4,
1997-11,56.6,
1997-12,56.6,
1998-01,56.8,
1998-02,57,
1998-03,57.1,
1998-04,57.2,
1998-05,57.2,
1998-06,57.3,
1998-07,57.3,
1998-08,57.4,
1998-09,57.4,
1998-10,57.5,
1998-11,57.5,
1998-12,57.6,
1999-01,57.6,
1999-02,57.7,
1999-03,57.8,
1999-04,58,
1999-05,58.1,
1999-06,58.1,
1999-07,58.3,
1999-08,58.3,
1999-09,58.5,
1999-10,58.6,
1999-11,58.7,
1999-12,58.8,
2000-01,58.9,
2000-02,59.1,
2000-03,59.3,
2000-04,59.3,
2000-05,59.6,
2000-06,59.7,
2000-07,59.8,
2000-08,59.8,
2000-09,60,
2000-10,60.2,
2000-11,60.4,
2000-12,60.4,
2001-01,60.3,
2001-02,60,
2001-03,60.6,
2001-04,61,
2001-05,61.3,
2001-06,61.4,
2001-07,61.3,
2001-08,61,
2001-09,61.3,
2001-10,61.6,
2001-11,61.7,
2001-12,61.8,
2002-01,61.7,
2002-02,61.6,
2002-03,62.1,
2002-04,62.6,
2002-05,62.8,
2002-06,62.8,
2002-07,62.8,
2002-08,62.6,
2002-09,63,
2002-10,63.3,
2002-11,63.5,
2002-12,63.6,
2003-01,63.5,
2003-02,63.2,
2003-03,64,
2003-04,64.5,
2003-05,64.6,
2003-06,64.6,
2003-07,64.6,
2003-08,64.3,
2003-09,64.8,
2003-10,65.1,
2003-11,65.2,
2003-12,65.2,
2004-01,64.8,
2004-02,64.7,
2004-03,65.5,
2004-04,65.9,
2004-05,66.1,
2004-06,66.2,
2004-07,66,
2004-08,65.9,
2004-09,66.2,
2004-10,66.4,
2004-11,66.6,
2004-12,66.8,
2005-01,66.1,
2005-02,66.1,
2005-03,66.8,
2005-04,67.4,
2005-05,67.6,
2005-06,67.6,
2005-07,67.4,
2005-08,67.3,
2005-09,67.7,
2005-10,68.2,
2005-11,68.2,
2005-12,68.2,
2006-01,67.6,
2006-02,67.5,
2006-03,68.3,
2006-04,68.9,
2006-05,69.1,
2006-06,69.2,
2006-07,69,
2006-08,68.9,
2006-09,69.3,
2006-10,69.5,
2006-11,69.5,
2006-12,69.6,
2007-01,68.9,
2007-02,68.9,
2007-03,69.7,
2007-04,70.1,
2007-05,70.4,
2007-06,70.6,
2007-07,70.1,
2007-08,70,
2007-09,70.5,
2007-10,71.1,
2007-11,71.3,
2007-12,71.6,
2008-01,71,
2008-02,71.1,
2008-03,72.2,
2008-04,72.6,
2008-05,73,
2008-06,73.4,
2008-07,73,
2008-08,73,
2008-09,73.3,
2008-10,73.6,
2008-11,73.3,
2008-12,73.3,
2009-01,72,
2009-02,72.1,
2009-03,73,
2009-04,73.5,
2009-05,73.7,
2009-06,73.8,
2009-07,72.9,
2009-08,73,
2009-09,73.6,
2009-10,73.9,
2009-11,73.9,
2009-12,74.1,
2010-01,73,
2010-02,72.9,
2010-03,74,
2010-04,74.7,
2010-05,74.8,
2010-06,74.8,
2010-07,74.2,
2010-08,74.3,
2010-09,74.8,
2010-10,75.3,
2010-11,75.3,
2010-12,75.6,
2011-01,74.4,
2011-02,74.5,
2011-03,76.1,
2011-04,76.9,
2011-05,77,
2011-06,77.1,
2011-07,75.7,
2011-08,76,
2011-09,77.5,
2011-10,78.1,
2011-11,78.1,
2011-12,78.4,
2012-01,77,
2012-02,77.1,
2012-03,79,
2012-04,79.7,
2012-05,79.7,
2012-06,79.9,
2012-07,78.5,
2012-08,78.5,
2012-09,80.1,
2012-10,80.3,
2012-11,80.1,
2012-12,80.4,
2013-01,78.8,
2013-02,78.6,
2013-03,80.4,
2013-04,80.7,
2013-05,80.7,
2013-06,80.9,
2013-07,79.4,
2013-08,79.4,
2013-09,80.9,
2013-10,80.9,
2013-11,80.6,
2013-12,80.9,
2014-01,79.2,
2014-02,78.9,
2014-03,80.7,
2014-04,81.1,
2014-05,81,
2014-06,81.1,
2014-07,79.4,
2014-08,79.3,
2014-09,80.8,
2014-10,81,
2014-11,80.8,
2014-12,80.8,
2015-01,78.9,
2015-02,79,
2015-03,80.7,
2015-04,81.1,
2015-05,81.2,
2015-06,81.3,
2015-07,79.7,
2015-08,79.6,
2015-09,80.9,
2015-10,81.3,
2015-11,81,
2015-12,80.9,
2016-01,79.2,
2016-02,78.8,
2016-03,80.5,
2016-04,80.7,
2016-05,80.9,
2016-06,81.1,
2016-07,79.6,
2016-08,79.5,
2016-09,81,
2016-10,81.2,
2016-11,81.1,
2016-12,81.4,
2017-01,80,
2017-02,80.1,
2017-03,81.7,
2017-04,82.3,
2017-05,82.2,
2017-06,82.1,
2017-07,80.5,
2017-08,80.6,
